MONTHYEAR,MONTH,YEAR,CATEGORY,COUNT,Month_YOY_Percent_Change,Count YTD,YTD_Percent_Change,MonthOrder
May 2021,May,2021,Major Violent Crime,980,7.46,3961,11.05,5
June 2021,June,2021,Major Property Crime,2751,-8.94,15889,-9.81,6
June 2021,June,2021,Major Violent Crime,906,-0.66,4867,8.66,6
July 2021,July,2021,Major Property Crime,3065,9.39,18954,-7.17,7
July 2021,July,2021,Major Violent Crime,950,3.26,5817,7.74,7
August 2021,August,2021,Major Property Crime,3064,4.43,22018,-5.72,8
August 2021,August,2021,Major Violent Crime,873,-6.73,6690,5.6,8
September 2021,September,2021,Major Property Crime,3017,2.69,25035,-4.78,9
September 2021,September,2021,Major Violent Crime,820,-5.64,7510,4.25,9
October 2021,October,2021,Major Property Crime,3335,7.83,28370,-3.51,10
October 2021,October,2021,Major Violent Crime,969,10.11,8479,4.76,10
November 2021,November,2021,Major Property Crime,2840,-7.61,31210,-3.99,11
November 2021,November,2021,Major Violent Crime,766,-12.06,9245,4.15,11
December 2021,December,2021,Major Property Crime,2998,-14.47,34208,-5.01,12
December 2021,December,2021,Major Violent Crime,841,4.21,10086,4.15,12
January 2022,January,2022,Major Property Crime,3205,0.56,3205,0.56,1
January 2022,January,2022,Major Violent Crime,781,-3.7,781,-3.7,1
February 2022,February,2022,Major Property Crime,2680,26,5885,10.75,2
February 2022,February,2022,Major Violent Crime,641,8.64,1422,1.5,2
March 2022,March,2022,Major Property Crime,2771,8.03,8656,9.86,3
March 2022,March,2022,Major Violent Crime,767,0.39,2189,1.11,3
April 2022,April,2022,Major Property Crime,3064,29.56,11720,14.41,4
April 2022,April,2022,Major Violent Crime,869,6.5,3058,2.58,4
May 2022,May,2022,Major Property Crime,3736,29.09,15456,17.64,5
May 2022,May,2022,Major Violent Crime,983,0.31,4041,2.02,5
June 2022,June,2022,Major Property Crime,3892,41.48,19348,21.77,6
June 2022,June,2022,Major Violent Crime,891,-1.66,4932,1.34,6
July 2022,July,2022,Major Property Crime,4243,38.43,23591,24.46,7
July 2022,July,2022,Major Violent Crime,851,-10.42,5783,-0.58,7
August 2022,August,2022,Major Property Crime,4144,35.24804178,27735,25.96511945,8
August 2022,August,2022,Major Violent Crime,837,-4.12371134,6620,-1.046337818,8
September 2022,September,2022,Major Property Crime,4045,34.07358303,31780,26.94228081,9
September 2022,September,2022,Major Violent Crime,801,-2.317073171,7421,-1.185086551,9
